Address,City,Name,URL,Program Details,School District,Image,Formatted Address,latlong,lat,long
6515 W Commerce,"San Antonio, TX",Lyndon B. Johnson Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"6515 W Commerce St, San Antonio, TX 78227, USA","29.435715,-98.5903723",29.435715,-98.5903723
1507 Ceralvo,"San Antonio, TX",Perales Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"1507 Ceralvo St, San Antonio, TX 78237, USA","29.4091285,-98.5485406",29.4091285,-98.5485406
3823 Fortuna,"San Antonio, TX",Roosevelt Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"3823 Fortuna, San Antonio, TX 78237, USA","29.4369788,-98.56257339999999",29.4369788,-98.5625734
3011 Ruiz St,"San Antonio, TX",Roy Cisneros Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"3011 Ruiz St, San Antonio, TX 78228, USA","29.4390677,-98.54969919999999",29.4390677,-98.5496992
415 SW 36th Street,"San Antonio, TX",Stafford Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"415 SW 36th St, San Antonio, TX 78237, USA","29.4251339,-98.57321759999999",29.4251339,-98.5732176
2525 SW Gen McMullen,"San Antonio, TX",Winston Elementary,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"2525 S General McMullen Dr, San Antonio, TX 78226, USA","29.390158,-98.56237899999999",29.390158,-98.562379
3300 Ruiz Street,"San Antonio, TX",Cardenas ECC,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"3300 Ruiz St, San Antonio, TX 78237, USA","29.438975,-98.554634",29.438975,-98.554634
611 SW 36th Street,"San Antonio, TX",Stafford ECC,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"611 SW 36th St, San Antonio, TX 78237, USA","29.4219343,-98.57399029999999",29.4219343,-98.5739903
1626 W Thompson PL,"San Antonio, TX",Brentwood Middle School,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"1626 W Thompson Pl, San Antonio, TX 78226, USA","29.3958859,-98.5538476",29.3958859,-98.5538476
3306 Ruiz,"San Antonio, TX",Gus Garcia Middle School,https://www.eisd.net/…/F…/Health%20Update/Closure%20FAQs.pdf,drive-up Grab and Go meal at all Edgewood ISD campuses.  (Breakfast from 7:30 am – 9:30 am)  (Lunch from 11:30 am – 1:30 pm),Edgewood ISD,https://nowcastsa.com/sites/default/files/styles/thumbnail/public/edgewoodisd.png,"3306 Ruiz St, San Antonio, TX 78237, USA","29.4391546,-98.5567368",29.4391546,-98.5567368
